,Fecha Operación,Agente Representante,Capacidad Efectiva Neta [MW]
235,12/01/2022,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1200
236,07/29/2015,CELSIA COLOMBIA S.A. E.S.P.,56
237,06/14/2012,CELSIA COLOMBIA S.A. E.S.P.,20
238,05/28/2012,CELSIA COLOMBIA S.A. E.S.P.,20
239,05/24/2013,ISAGEN S.A. E.S.P.,80
240,01/08/2011,HIDROTOLIMA S.A. E.S.P.,3
241,01/06/2011,CELSIA COLOMBIA S.A. E.S.P.,19
242,08/18/2010,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,1
243,08/18/2010,ENERCO S.A. E.S.P.,1
244,06/30/2010,ISAGEN S.A. E.S.P.,10
245,02/09/2011,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,700
246,01/28/2010,ISAGEN S.A. E.S.P.,10
247,04/10/2008,ENERGIA DEL RIO PIEDRAS S.A. E.S.P,7
248,07/20/1995,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,19
249,04/08/2001,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,405
250,12/01/2002,ISAGEN S.A. E.S.P.,396
251,02/14/2000,EMPRESA URRA S.A. E.S.P.,338
252,08/22/2003,ENEL COLOMBIA SA ESP,19
253,03/01/1973,CELSIA COLOMBIA S.A. E.S.P.,5
254,07/24/2014,HZ ENERGY S.A.S. E.S.P.,1
255,01/01/1930,CCG ENERGY S.A.S. E.S.P.,1
256,09/27/2000,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,5
257,06/30/2006,ISAGEN S.A. E.S.P.,20
258,07/30/2007,DEPI ENERGY S.A.S. E.S.P.,1
259,01/01/1935,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,2
260,09/17/2007,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,3
261,07/17/2007,VATIA S.A. E.S.P.,2
262,06/09/2005,ENEL COLOMBIA SA ESP,8
263,11/16/2003,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,0
264,01/01/1960,VATIA S.A. E.S.P.,1
265,01/01/1935,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1
266,01/01/1960,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,4
267,01/01/1975,ESPACIO PRODUCTIVO S.A.S. E.S.P.,10
268,12/01/2007,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,0
269,01/01/1999,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,3
270,12/01/1986,ENEL COLOMBIA SA ESP,600
271,01/01/1966,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,512
272,12/15/2000,CELSIA COLOMBIA S.A. E.S.P.,427
273,01/01/1954,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,2
274,01/01/1925,CELSIA COLOMBIA S.A. E.S.P.,2
275,11/01/1957,HIDROTOLIMA S.A. E.S.P.,3
276,11/01/1957,HIDROTOLIMA S.A. E.S.P.,3
277,03/31/2000,CELSIA COLOMBIA S.A. E.S.P.,20
278,01/01/1954,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,15
279,01/01/1932,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,1
280,11/25/1999,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,13
281,01/01/1954,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,3
282,11/01/1958,HIDROTOLIMA S.A. E.S.P.,1
283,01/01/1996,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,10
284,01/01/1947,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1
285,01/01/1942,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2
286,01/01/1965,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,1
287,01/01/1965,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,1
288,01/01/1955,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,4
289,01/01/1994,VATIA S.A. E.S.P.,0
290,01/01/1995,VATIA S.A. E.S.P.,3
291,01/01/1958,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,0
292,01/01/1997,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1
293,11/03/2004,HIDROTOLIMA S.A. E.S.P.,4
294,02/05/2009,VATIA S.A. E.S.P.,1
295,01/01/1934,VATIA S.A. E.S.P.,0
296,01/01/1935,EMPRESAS PUBLICAS DE CALARCA ESP,1
297,01/01/1956,EMPRESAS PUBLICAS DE CALARCA ESP,1
298,01/01/1943,EMPRESAS PUBLICAS DE CALARCA ESP,1
299,06/28/1993,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,19
300,01/01/1939,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,3
301,01/01/1929,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,2
302,01/01/1958,VATIA S.A. E.S.P.,1
303,01/01/1974,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1
304,01/01/1992,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1
305,04/10/2004,ENEL COLOMBIA SA ESP,19
306,01/01/2005,ENEL COLOMBIA SA ESP,19
307,12/06/2003,ENEL COLOMBIA SA ESP,19
308,12/06/2003,ENEL COLOMBIA SA ESP,18
309,08/22/2003,ENEL COLOMBIA SA ESP,19
310,05/24/2002,CEMEX ENERGY S.A.S E.S.P.,6
311,01/01/1951,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1
312,09/01/2001,ENERCO S.A. E.S.P.,4
313,08/05/2007,HZ ENERGY S.A.S. E.S.P.,1
314,07/30/2007,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,0
315,01/01/1969,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,135
316,01/20/1984,ISAGEN S.A. E.S.P.,1240
317,07/20/1995,CELSIA COLOMBIA S.A. E.S.P.,315
318,01/01/1900,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,5
319,06/01/2002,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,19
320,01/01/1956,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,19
321,07/20/1995,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,20
322,03/01/1973,CELSIA COLOMBIA S.A. E.S.P.,51
323,08/01/1988,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,207
324,01/01/1954,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2
325,09/19/2007,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,1
326,01/01/1935,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,4
327,11/22/2004,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,12
328,05/20/1994,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,306
329,07/01/1988,ISAGEN S.A. E.S.P.,170
330,09/03/2004,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,20
331,03/19/1993,ENEL COLOMBIA SA ESP,1250
332,01/01/1972,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,560
333,09/01/2004,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,9
334,02/18/2004,HIDROTOLIMA S.A. E.S.P.,1
335,01/01/1975,VATIA S.A. E.S.P.,20
336,01/01/1939,VATIA S.A. E.S.P.,1
337,01/01/1963,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,30
338,01/01/1994,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,5
339,01/01/1942,CELSIA COLOMBIA S.A. E.S.P.,7
340,01/01/1992,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,3
341,01/01/1997,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1
342,05/23/1977,AES COLOMBIA & CIA. S.C.A. E.S.P.,1000
343,01/01/1997,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,0
344,10/26/1983,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,17
345,01/01/1967,CELSIA COLOMBIA S.A. E.S.P.,132
346,01/01/1997,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,0
347,11/01/1987,ENEL COLOMBIA SA ESP,540
348,04/27/2004,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,18
349,01/31/2021,DEPI ENERGY S.A.S. E.S.P.,2
350,06/22/2018,CELSIA COLOMBIA S.A. E.S.P.,12
351,04/22/2017,AES COLOMBIA & CIA. S.C.A. E.S.P.,20
352,03/25/2017,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,17
353,03/17/2016,CELSIA COLOMBIA S.A. E.S.P.,4
354,04/29/2014,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,20
355,07/23/2011,CELSIA COLOMBIA S.A. E.S.P.,2
356,01/26/2010,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,0
357,08/17/2010,CELSIA COLOMBIA S.A. E.S.P.,20
358,11/11/2009,DEPI ENERGY S.A.S. E.S.P.,0
359,05/18/2009,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,20
360,02/05/2009,ENERCO S.A. E.S.P.,0
361,12/19/2013,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,9
362,03/25/2007,CELSIA COLOMBIA S.A. E.S.P.,0
363,05/21/2018,RIOPAILA ENERGÍA S.A.S. E.S.P.,16
364,08/15/2004,RIOPAILA ENERGÍA S.A.S. E.S.P.,3
365,08/15/2003,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,20
366,01/01/1999,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,4
367,10/21/1998,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,60
368,08/01/1998,BIOAISE S.A.,1
