Mes,Porcentaje ACPM,Porcentaje Agua,Porcentaje Bagazo,Porcentaje Biogas,Porcentaje Carbon,Porcentaje Combustoleo,Porcentaje Crudo,Porcentaje Gas,Porcentaje Gas NI,Porcentaje JET-A1,Porcentaje RAD SOLAR,Porcentaje Viento
1,0.015227653418608192,61.869955839805094,5.999695446931628,1.6141312623724684,4.202832343535861,0.06091061367443277,0.04568296025582458,10.52230851225826,0.0,0.015227653418608192,14.237855946398659,1.4161717679305619
2,0.2680067001675042,58.643216080402006,6.817420435510887,1.8592964824120601,5.427135678391959,0.10050251256281408,0.05025125628140704,9.748743718592964,0.05025125628140704,0.0,15.628140703517587,1.407035175879397
3,0.05997900734742839,61.50847203478782,6.612685560053981,1.4095066726645673,3.343829659619133,0.0899685110211426,0.0,8.936872094766832,0.0,0.0,16.64417453891138,1.3945119208277104
4,0.07785736530675802,62.05232014948614,5.683587667393335,1.0121457489878543,2.8962939894113986,0.14014325755216445,0.0,8.53316723762068,0.03114294612270321,0.0,18.171909062597322,1.4014325755216444
5,0.14425851125216388,59.578765147143685,4.125793421811887,1.0530871321407964,5.337564916330064,0.15868436237738026,0.1009809578765147,10.285631852279284,0.28851702250432776,0.0,17.585112521638777,1.341604154645124
6,0.14078558355624385,57.144868365479375,5.434323525271012,1.1544417851611997,5.04012389131353,0.11262846684499507,0.04223567506687315,9.629733915247078,0.7743207095593411,0.014078558355624384,19.24538927213853,1.2670702520061945
7,0.17452006980802792,54.584507987649346,5.638340716874748,1.5035575244999329,5.866559269700631,0.10739696603570949,0.0,10.565176533762921,0.14767082829910055,0.0,20.163780373204457,1.2484897301651228
8,0.2925142933120595,54.46084297300891,5.424810530514559,1.2897221114213535,5.770509240792448,0.35899481451934584,0.05318441696582901,9.998670389575855,0.7711740460045207,0.013296104241457253,20.32974338518814,1.2365376944555246
9,0.2801120448179272,51.9467787114846,5.630252100840337,1.4285714285714286,6.134453781512605,0.2801120448179272,0.5042016806722689,10.434173669467787,1.5966386554621848,0.0,20.504201680672267,1.2605042016806722
10,0.7660810989301281,52.714304583278306,5.1512349755646545,1.3604543653414343,6.168273675868445,0.01320829480914014,0.5943732664113064,10.460969488838991,1.320829480914014,0.01320829480914014,20.51248183859464,0.9245806366398098
11,0.9930621684124609,53.08121344034825,4.366752822745204,1.5099986396408651,5.128553938239695,0.4353149231397089,0.8026118895388382,10.651612025574751,0.7618011154944905,0.0,21.45286355597878,0.8162154808869542
12,0.7324595219737857,51.246466204060646,5.397070161912105,1.4649190439475714,5.8211256746337705,0.3469545104086353,0.0,9.277820611667952,1.8118735543562068,0.0,23.104600359804678,0.7967103572346441
